"POC Name ","Address ","Postal Code ",Latitude,Longitude
TRATTORIA LA SCALA,"31, RENE-LEVESQUE BOUL O, QUEBEC, G1R 2A3",G1R 2A3,46.8046425,-71.22579029999997
CECILE ET RAMONE GRILL,"1061 BOULEVARD PIERRE  BERTRAN, QUEBEC, G1M2E8",G1M2E8,46.8286981,-71.27679660000001
RESTAURANT LES 3 GLACES,"655 BOULEVARD PIERRE-BERTRAND, QUEBEC, G1M 2E4",G1M 2E4,46.82145999999999,-71.2704862
LA CAGE AUX SPORTS,"8000 BOUL HENRI-BOURASSA, CHARLESBOURG, QUEBEC, G1G 4C7",G1G 4C7,46.8632573,-71.26812960000001
LA CAGE AUX SPORTS,"837, RUE CLEMENCEAU, BEAUPORT, QUEBEC, G1C 2K6",G1C 2K6,46.867419,-71.20732699999996
RESTAURANT LE GOUR-METS,"106A BOUL SAINT-DAVID, FALARDEAU, QUEBEC, G0V 1C0",G0V 1C0,48.6209248,-71.11036910000001
RESTO-BAR LA ROCHELIERE,"1370 RUE DU PONT, ST-LAMBERT-DE-LAUZON, QUEBEC, G0S 2W0",G0S 2W0,46.5996233,-71.19400580000001
CLUB MOTON. ST-BERNARD INC,"213 RANG SAINT-LUC, ST-BERNARD-DE-DORCHESTER, QUEBEC, G0S 2G0",G0S 2G0,46.4901381,-71.1447905
RESTO-BAR LE NATIONAL,"231, PRINCIPALE, ST-PAMPHILE, QUEBEC, G0R 3X0",G0R 3X0,46.964067,-69.78424000000001
AUBERGE ST-FORTUNAT,"109 RUE PRINCIPALE, ST-FORTUNAT, QUEBEC, G0P 1G0",G0P 1G0,45.970591,-71.595752
RESTAURANT BAR TAGA,"240 RUE PRINCIPALE - LOCAL 238, HAM NORD, QUEBEC, G0P 1A0",G0P 1A0,45.9025734,-71.6440996
LES RESTOS CHEZ DANY,"108 RUE COMMERCIALE, ST-VICTOR-DE-BEAUCE, QUEBEC, G0M 2B0",G0M 2B0,46.1469298,-70.90579530000002
RESTO BAR DU BRULE,"1327 RUE PRINCIPALE, ST-COME-LINIERE, QUEBEC, G0M 1J0",G0M 1J0,46.05929500000001,-70.52376900000002
CAFE GRAINS DE FOLIE,"1 NOTRE DAME OUEST, TROIS-PISTOLES, QUEBEC, G0L 4K0",G0L 4K0,48.12523299999999,-69.17542960000003
LE BISTRO BAR NIPIGON,"18 ROUTE DU FLEUVE O, STE-LUCE, QUEBEC, G0K 1P0",G0K 1P0,48.5496737,-68.38356970000001
RESTO-PUB ST-ALFRED,"326, 2E AVENUE, PORTNEUF, QUEBEC, G0A 2Y0",G0A 2Y0,46.6891178,-71.8893521
BOSTON PIZZA,"700 UNIVERSITY AVENUE, CHARLOTTETOWN, PRINCE EDWARD ISLAND, B3K 1B9",B3K 1B9,46.2662902,-63.14737839999998
BOSTON PIZZA,"223 223 MAIN ST S, KENORA, ONTARIO, P9N 1T3",P9N 1T3,49.7657858,-94.4909915
COPPER RIVER INN CONFERENCE CENTRE,"700 STEWART ST, FORT FRANCES, ONTARIO, P9A 2Y2",P9A 2Y2,48.6086675,-93.41963329999999
BOSTON PIZZA,"840 840 KING'S HIGHWAY, FORT FRANCES, ONTARIO, P9A 2X4",P9A 2X4,48.6076691,-93.423111
BOSTON PIZZA,"217 217 WEST ARTHUR ST., THUNDER BAY, ONTARIO, P7E 5P7",P7E 5P7,48.3812021,-89.2821204
MONTANA'S COOKHOUSE,"615 615 SIBLEY DRIVE, THUNDER BAY, ONTARIO, P7B 6Z8",P7B 6Z8,48.405563,-89.25925799999999
BOSTON PIZZA,"505 505 MEMORIAL AVE., THUNDER BAY, ONTARIO, P7B 3Y6",P7B 3Y6,48.42118050000001,-89.23732719999998
BOSTON PIZZA,"601 601 GREAT NORTHERN ROAD, SAULT STE. MARIE, ONTARIO, P6B 5A1",P6B 5A1,46.5440332,-84.32007320000002
BURGER DON FOOD BEVERAGE CO.,"7 GREAT NORTHERN RD., SAULT STE. MARIE, ONTARIO, P6B 4Y4",P6B 4Y4,46.52253750000001,-84.31968030000002
MONTANA'S COOKHOUSE,"1500 1500 RIVERSIDE DRIVE W, TIMMINS, ONTARIO, P4R 1A1",P4R 1A1,48.4738125,-81.38250069999998
BOSTON PIZZA,"856 856 RIVERSIDE DRIVE, TIMMINS, ONTARIO, P4N 3W1",P4N 3W1,48.47767409999999,-81.36120819999996
BOSTON PIZZA,"120 120 DONNA DRIVE, SUDBURY, ONTARIO, P3B 4K6",P3B 4K6,46.5024972,-80.93908650000003
MONTANA'S COOKHOUSE,"1300 1300 MARCUS DRIVE, SUDBURY, ONTARIO, P3B 4K5",P3B 4K5,46.5017039,-80.94534190000002
BOSTON PIZZA,"10 10 BAY ST, PARRY SOUND, ONTARIO, P2A 1S3",P2A 1S3,45.3396673,-80.03699970000002
BOSTON PIZZA,"1100 1100 BAY ST, GRAVENHURST, ONTARIO, P1P 1Z9",P1P 1Z9,44.9199864,-79.386188
BOSTON PIZZA,"10 10 DEPOT DRIVE, BRACEBRIDGE, BRAMPTON, ONTARIO, P1L 0A1",P1L 0A1,45.0500727,-79.29260970000001
MOOSE DELANEY'S SPORTS GRILL,"3 CANN ST, HUNTSVILLE, ONTARIO, P1H 1H3",P1H 1H3,45.3291134,-79.21481030000001
